ProjectID,CruiseID,Nuts_Sample_Code,Sample Date,Start time (local),Transect,Station,Latitude,Longitude,pressure,po4,nh4,sio2,no2,no3,no3+no2,comments
NH,EL150101,010115NH01,12/31/2014,1/0/1900,Newport Hydrographic,NH01,44.65169907,-124.0999985,0,0.767499983,0.157000005,11.47990036,0.815800011,5.151500225,5.967299938,
NH,EL150101,010115NH03,12/31/2014,1/0/1900,Newport Hydrographic,NH03,44.65169907,-124.1299973,0,0.743200004,0.133000001,13.28339958,0.796000004,5.576499939,6.372499943,
NH,EL150101,010115NH05,12/31/2014,1/0/1900,Newport Hydrographic,NH05,44.65169907,-124.1750031,0,0.78490001,0.153600007,14.28489971,0.826399982,6.086100101,6.912499905,
NH,EL150102,010615NH01,1/6/2015,1/0/1900,Newport Hydrographic,NH01,44.65169907,-124.0999985,0,0.785099983,0.312099993,18.29789925,0.522899985,5.967000008,6.489900112,
NH,EL150102,010615NH03,1/6/2015,1/0/1900,Newport Hydrographic,NH03,44.65169907,-124.1299973,0,0.742399991,0.368600011,15.71749973,0.476599991,5.39139986,5.868000031,
NH,EL150102,010615NH05,1/6/2015,1/0/1900,Newport Hydrographic,NH05,44.65169907,-124.177002,0,0.796599984,0.286300004,8.046899796,0.224800006,4.057600021,4.282400131,
NH,EL150102,010615NH10,1/6/2015,1/0/1900,Newport Hydrographic,NH10,44.65169907,-124.2949982,0,0.725000024,0.095399998,8.242400169,0.153600007,4.111999989,4.265600204,
NH,EL150102,010615NH15,1/6/2015,1/0/1900,Newport Hydrographic,NH15,44.65169907,-124.4120026,0,0.549099982,0.194800004,6.227799892,0.111299999,3.091399908,3.2026999,
NH,EL150102,010615NH20,1/6/2015,1/0/1900,Newport Hydrographic,NH20,44.65169907,-124.5279999,0,0.682099998,0.201000005,5.221600056,0.210700005,3.478499889,3.689199924,
NH,EL150102,010615NH25,1/6/2015,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,0,0.681400001,0.114699997,5.219200134,0.203500003,3.506999969,3.710500002,
NH,EL150102,010615NH25,1/6/2015,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,150,2.207600117,0.067400001,37.76789856,0.064999998,29.47940063,29.54439926,
NH,EL120101,010812NH01,1/8/2012,1/0/1900,Newport Hydrographic,NH01,44.65169907,-124.0999985,0,0.981999993,0.150999993,22.62000084,0.312000006,12.84000015,13.14999962,
NH,EL120101,010812NH03,1/8/2012,1/0/1900,Newport Hydrographic,NH03,44.65169907,-124.1299973,0,0.907000005,0.540000021,20.35000038,0.294999987,11.60999966,11.90999985,
NH,EL120101,010812NH05,1/8/2012,1/0/1900,Newport Hydrographic,NH05,44.65169907,-124.1750031,0,1.013000011,0.310000002,20.93000031,0.307000011,11.94999981,12.26000023,
NH,EL120101,010812NH10,1/8/2012,1/0/1900,Newport Hydrographic,NH10,44.65169907,-124.2947998,0,0.851999998,0.079999998,11.31999969,0.239999995,8.010000229,8.25,
NH,EL120101,010812NH15,1/8/2012,1/0/1900,Newport Hydrographic,NH15,44.65169907,-124.4116974,0,0.819999993,0.027000001,10.17000008,0.216999993,7.090000153,7.300000191,
NH,EL120101,010812NH20,1/8/2012,1/0/1900,Newport Hydrographic,NH20,44.65169907,-124.5282974,0,0.883000016,0.079999998,9.350000381,0.237000003,6.519999981,6.75,
NH,EL120101,010812NH25,1/8/2012,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,0,0.689999998,0.079999998,8.050000191,0.236000001,5.820000172,6.059999943,
NH,EL120101,010812NH25,1/8/2012,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,150,2.145999908,0.155000001,39.1969986,0.041999999,28.90299988,28.94499969,
NH,EL160101,010816NH01,1/8/2016,1/0/1900,Newport Hydrographic,NH01,44.65169907,-124.0999985,0,0.667200029,0.387199998,18.33419991,0.469000012,4.647799969,5.116799831,
NH,EL160101,010816NH03,1/8/2016,1/0/1900,Newport Hydrographic,NH03,44.65169907,-124.1299973,0,0.630599976,0.319200009,16.18490028,0.463999987,4.16590023,4.629899979,
NH,EL160101,010816NH05,1/8/2016,1/0/1900,Newport Hydrographic,NH05,44.65169907,-124.1750031,0,0.640100002,0.118000001,11.72889996,0.552299976,3.915299892,4.467599869,
NH,EL030101,010903NH05,1/9/2003,1/0/1900,Newport Hydrographic,NH05,44.65169907,-124.1750031,0,0.655102372,0.532242775,17.29039764,0.636754334,6.867399216,7.504153728,
NH,EL030101,010903NH15,1/9/2003,1/0/1900,Newport Hydrographic,NH15,44.65169907,-124.4116974,0,0.827315331,0.120524518,10.41292763,0.498182893,6.413378716,6.911561966,
NH,EL030101,010903NH25,1/9/2003,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,0,0.94056356,0,5.280415535,0.230139077,5.947734356,6.177873135,
NH,EL110101,011011NH01,1/10/2011,1/0/1900,Newport Hydrographic,NH01,44.65169907,-124.0999985,0,0.724699974,0.565100014,15.4059,0.366899997,6.135499954,6.502399921,
NH,EL110101,011011NH03,1/10/2011,1/0/1900,Newport Hydrographic,NH03,44.65169907,-124.1299973,0,0.655300021,0.505200028,16.55369949,0.330599993,6.479000092,6.809599876,
NH,EL110101,011011NH05,1/10/2011,1/0/1900,Newport Hydrographic,NH05,44.65169907,-124.1750031,0,0.638700008,0.277500004,12.63189983,0.331200004,5.302700043,5.633900166,
NH,EL110101,011011NH10,1/10/2011,1/0/1900,Newport Hydrographic,NH10,44.65169907,-124.2947998,0,0.314900011,0.093599997,8.083999634,0.27579999,4.03429985,4.310100079,
NH,EL110101,011011NH15,1/10/2011,1/0/1900,Newport Hydrographic,NH15,44.65169907,-124.4116974,0,0.733900011,0.553200006,11.49349976,0.353399992,5.397099972,5.750500202,
NH,EL110101,011011NH20,1/10/2011,1/0/1900,Newport Hydrographic,NH20,44.65169907,-124.5282974,0,0.622099996,0.124499999,11.63449955,0.389499992,5.619400024,6.008900166,
NH,EL110101,011011NH25,1/10/2011,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,0,0.717899978,0.104800001,9.783100128,0.421799988,5.343900204,5.765699863,
NH,EL110101,011011NH25,1/10/2011,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,150,1.997799993,0.160500005,41.37879944,0.057700001,30.57099915,30.62870026,
NH,EL070101,011207NH05,1/12/2007,1/0/1900,Newport Hydrographic,NH05,44.65169907,-124.1750031,0,0.928300023,0.030200001,27.70019913,0.400400013,11.79609966,12.19649982,
NH,EL070101,011207NH15,1/12/2007,1/0/1900,Newport Hydrographic,NH15,44.65169907,-124.4116974,0,0.903100014,0.020099999,18.65460014,0.328500003,10.25580025,10.58430004,
NH,EL070101,011207NH25,1/12/2007,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,0,0.967999995,0.0254,12.80630016,0.217399999,9.625100136,9.842499733,
NH,EL070101,011207NH25,1/12/2007,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,132,2.044199944,0.0085,32.74779892,0.0287,26.12150002,26.15019989,"labeled 150m at sea, really 132m"
NH,EL170101,011217NH01,1/12/2017,1/0/1900,Newport Hydrographic,NH01,44.65169907,-124.0999985,0,0.738499999,0.846099973,9.204500198,0.187099993,2.71329999,2.900399923,
NH,EL170101,011217NH03,1/12/2017,1/0/1900,Newport Hydrographic,NH03,44.65169907,-124.1299973,0,0.649399996,0.737900019,13.89610004,0.1479,2.982700109,3.130599976,
NH,EL170101,011217NH05,1/12/2017,1/0/1900,Newport Hydrographic,NH05,44.65169907,-124.1750031,0,0.707599998,0.4833,16.35280037,0.189300001,3.574500084,3.763799906,
NH,EL170101,011217NH10,1/12/2017,1/0/1900,Newport Hydrographic,NH10,44.65169907,-124.2947998,0,0.690999985,0.525200009,8.036999702,0.196899995,1.930299997,2.127199888,
NH,EL170101,011217NH15,1/12/2017,1/0/1900,Newport Hydrographic,NH15,44.65169907,-124.4116974,0,0.732299984,0.477100015,3.581899881,0.263799995,1.639999986,1.903800011,
NH,EL170101,011217NH20,1/12/2017,1/0/1900,Newport Hydrographic,NH20,44.65169907,-124.5282974,0,0.603100002,0.319900006,3.59190011,0.263500005,1.530099988,1.793599963,
NH,EL170101,011217NH25,1/12/2017,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,0,0.641300023,1.033800006,4.004000187,0.320300013,2.493099928,2.81340003,
NH,EL170101,011217NH25,1/12/2017,1/0/1900,Newport Hydrographic,NH25,44.65169907,-124.6500015,150,2.028100014,0.115699999,31.56769943,0.043099999,25.55739975,25.60050011,
